name,lat,lng
Dindoshi PS,19.171569,72.877312
Sion PS,19.0388,72.865
Shivaji Park PS,19.02306,72.840468
Dharavi PS,19.0421,72.8548
Parksite PS,19.1013,72.9188
Mankhurd PS,19.0437,72.925
Govandi PS,19.061,72.9095
Kandivali PS,19.2096,72.8515
MHB Colony PS,19.232248,72.840419
Aarey Sub PS,19.1551,72.857
Nehru Nagar PS,19.11,72.8925
Bhoiwada PS,19.00666,72.843998
Goregaon PS,19.157354,72.845547
Bandra PS,19.0544,72.839
MRA Marg PS,18.945938,72.835241
Borivali PS,19.2281,72.8579
Kasturba PS,19.22814,72.857895
Kurar PS,19.18552,72.859319
Cuffe Parade PS,18.9216,72.8231
JJ Marg PS,18.965,72.836
DB Marg PS,18.962,72.814
Yellow Gate PS,18.947151,72.841358
Marine Drive PS,18.9428,72.8231
Tardeo PS,18.9722,72.8136
Chembur PS,19.0621,72.8991
Chunabhatti PS,19.056555815952997,72.87269892772565
Tilak Nagar PS,19.0842,72.917
Malad PS,19.1864,72.849
Amboli PS,19.1279,72.835
Wadala PS,19.015272,72.863693
Mahim PS,19.0412,72.846
Shahu Nagar PS,19.0585,72.9105
Charkop PS,19.214632,72.820613
Santacruz PS,19.084223,72.834843
Bhandup PS,19.151262,72.936424
Varsova PS,19.137704,72.81509
Kurla PS,19.0663,72.88
Gorai PS,19.237608,72.782564
Navghar PS,19.0935,72.935
LT Marg PS,18.9535,72.8285
Antop Hill PS,19.028,72.869
Dongri PS,18.962186,72.83902
Byculla PS,18.973606,72.834004
Dadar PS,19.014996,72.835431
Malwani PS,19.192107,72.822098
Azad Maidan PS,18.938,72.834
Nagpada PS,18.9628,72.8292
Gamdevi PS,18.968,72.81
NM Joshi PS,18.991383,72.830948
Deonar PS,19.0465,72.9062
Agripada PS,18.965,72.8241
Dahisar PS,19.252693,72.864285
Ghatkopar PS,19.0856,72.9087
Bandra Kurla Complex PS,19.06457,72.860245
Airport PS,19.0946,72.8571
DN Nagar PS,19.122187,72.829764
Sahar PS,19.098885,72.875252
Khar PS,19.072868,72.837791
Paidhuni PS,18.954189,72.832012
Vanrai PS,19.155806,72.857708
Samta Nagar PS,19.199956,72.861482
Kalachowkey PS,18.9982,72.8196
Sewree PS,18.9991,72.86
Colaba PS,18.922348,72.831116
Worli PS,19.005187,72.817383
RAK PS,18.9358,72.8277
Trombay PS,19.038263,72.945383
Kanjurmarg PS,19.129711,72.9373
Malbar Hill PS,19.1797,72.9368
VP Road PS,18.955713,72.823944
RCF PS,19.036835,72.895611
Vinoba Bhave Nagar PS,19.071739,72.884212
Pant Nagar PS,19.086893,72.916176
Andheri PS,19.1431,72.8236
Kherwadi PS,19.06573,72.850357
Nirmal Nagar PS,19.0016,72.8395
Wadala Truck Terminal PS,19.033054,72.875011
MIDC PS,19.11764,72.868111
Meghwadi PS,19.131544,72.861023
Vakola PS,19.080801,72.84716
Vileparle PS,19.1628,72.8391
Oshiwara PS,19.147545,72.831589
Jogeshwari PS,19.1482,72.8389
Sakinaka PS,19.1006,72.8808
Matunga PS,19.031141,72.857796
Shivaji Nagar PS,19.061201,72.921417
Bangur Nagar Police Station,19.1751,72.8316
Mulund PS,19.177345,72.951797
Vikhroli PS,19.1062,72.9273
Powai PS,19.119686,72.899456
Juhu PS,19.103124,72.832672
